"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","120","Success","ArtworkRepSuite","Sat Nov 22 08:46:49 UTC 2025","passed","Sat Nov 22 08:46:49 UTC 2025","","TestArtworkRep_GetByID","",""
"","46","Success","AuthorRepSuite","Sat Nov 22 08:46:53 UTC 2025","passed","Sat Nov 22 08:46:53 UTC 2025","","TestAuthorRep_GetByID","",""
"","169","Success","EmployeeRepSuite","Sat Nov 22 08:46:50 UTC 2025","passed","Sat Nov 22 08:46:50 UTC 2025","","TestEmployeeRep_Update","",""
"","16","Not found","EmployeeRepSuite","Sat Nov 22 08:46:50 UTC 2025","passed","Sat Nov 22 08:46:50 UTC 2025","","TestEmployeeRep_Delete","",""
"","159","TestEmployeeRep_GetByID","","Sat Nov 22 08:46:50 UTC 2025","passed","Sat Nov 22 08:46:50 UTC 2025","","EmployeeRepSuite","",""
"","245","TestArtworkRep_GetByID","","Sat Nov 22 08:46:49 UTC 2025","passed","Sat Nov 22 08:46:50 UTC 2025","","ArtworkRepSuite","",""
"","133","Success","EmployeeRepSuite","Sat Nov 22 08:46:50 UTC 2025","passed","Sat Nov 22 08:46:50 UTC 2025","","TestEmployeeRep_GetByLogin","",""
"","122","TestAuthorRep_Update","","Sat Nov 22 08:46:53 UTC 2025","passed","Sat Nov 22 08:46:53 UTC 2025","","AuthorRepSuite","",""
"","217","TestUserRep_UpdateSubscribeToMailing","","Sat Nov 22 08:46:53 UTC 2025","passed","Sat Nov 22 08:46:54 UTC 2025","","UserRepSuite","",""
"","19","Not found","UserRepSuite","Sat Nov 22 08:46:54 UTC 2025","passed","Sat Nov 22 08:46:54 UTC 2025","","TestUserRep_GetByLogin","",""
"","496","Artwork not found","EventRepSuite","Sat Nov 22 08:46:51 UTC 2025","passed","Sat Nov 22 08:46:52 UTC 2025","","TestEventRep_AddArtworksToEvent","",""
"","1759","TestEventRep_Update","","Sat Nov 22 08:46:50 UTC 2025","passed","Sat Nov 22 08:46:52 UTC 2025","","EventRepSuite","",""
"","2753","TestEventRep_GetAllEvents","","Sat Nov 22 08:46:50 UTC 2025","passed","Sat Nov 22 08:46:53 UTC 2025","","EventRepSuite","",""
"","514","TestEmployeeRep_Update","","Sat Nov 22 08:46:50 UTC 2025","passed","Sat Nov 22 08:46:50 UTC 2025","","EmployeeRepSuite","",""
"","304","TestArtworkRep_Add","","Sat Nov 22 08:46:49 UTC 2025","passed","Sat Nov 22 08:46:50 UTC 2025","","ArtworkRepSuite","",""
"","50","Success","UserRepSuite","Sat Nov 22 08:46:54 UTC 2025","passed","Sat Nov 22 08:46:54 UTC 2025","","TestUserRep_GetByID","",""
"","139","Employee exists","EventRepSuite","Sat Nov 22 08:46:50 UTC 2025","passed","Sat Nov 22 08:46:50 UTC 2025","","TestEventRep_CheckEmployeeByID","",""
"","77","TestAuthorRep_GetAll","","Sat Nov 22 08:46:53 UTC 2025","passed","Sat Nov 22 08:46:53 UTC 2025","","AuthorRepSuite","",""
"","17","Not found","EventRepSuite","Sat Nov 22 08:46:52 UTC 2025","passed","Sat Nov 22 08:46:52 UTC 2025","","TestEventRep_Delete","",""
"","13","Not found","UserRepSuite","Sat Nov 22 08:46:53 UTC 2025","passed","Sat Nov 22 08:46:53 UTC 2025","","TestUserRep_Delete","",""
"","121","Empty result for event without artworks","EventRepSuite","Sat Nov 22 08:46:53 UTC 2025","passed","Sat Nov 22 08:46:53 UTC 2025","","TestEventRep_GetCollectionsStat","",""
"","315","TestUserRep_Update","","Sat Nov 22 08:46:53 UTC 2025","passed","Sat Nov 22 08:46:54 UTC 2025","","UserRepSuite","",""
"","251","Success","EventRepSuite","Sat Nov 22 08:46:52 UTC 2025","passed","Sat Nov 22 08:46:52 UTC 2025","","TestEventRep_Delete","",""
"","126","TestAdminRep_GetAll","","Sat Nov 22 08:46:49 UTC 2025","passed","Sat Nov 22 08:46:49 UTC 2025","","AdminRepSuite","",""
