cnt rows | not Index | Index
1000 | 0.185 | 0.132 
2000 | 0.289 | 0.157 
3000 | 0.373 | 0.183 
4000 | 0.489 | 0.214 
5000 | 0.574 | 0.252 
6000 | 0.634 | 0.240 
7000 | 0.752 | 0.282 
8000 | 0.829 | 0.298 
9000 | 0.932 | 0.343 
10000 | 1.014 | 0.388 
11000 | 2.502 | 1.764 
12000 | 2.638 | 1.871 
13000 | 2.661 | 1.757 
14000 | 2.696 | 1.791 
15000 | 2.996 | 1.862 
16000 | 2.924 | 1.818 
17000 | 2.993 | 1.836 
18000 | 3.040 | 1.836 
19000 | 3.119 | 1.829 
20000 | 3.195 | 1.839 
21000 | 3.233 | 1.864 
22000 | 3.334 | 1.883 
23000 | 3.532 | 2.007 
24000 | 3.474 | 1.890 
25000 | 3.576 | 1.900 
26000 | 3.644 | 1.936 
27000 | 3.743 | 1.882 
28000 | 3.789 | 2.003 
29000 | 3.497 | 1.768 
30000 | 3.614 | 1.839 
31000 | 3.725 | 1.885 
32000 | 3.761 | 1.861 
33000 | 3.931 | 1.969 
34000 | 3.910 | 1.894 
35000 | 3.955 | 1.863 
36000 | 4.046 | 1.841 
37000 | 4.183 | 1.923 
38000 | 4.307 | 1.874 
39000 | 4.185 | 1.881 
40000 | 4.211 | 1.885 
41000 | 4.336 | 1.877 
42000 | 4.398 | 1.890 
43000 | 4.461 | 1.905 
44000 | 4.586 | 1.918 
45000 | 4.674 | 1.961 
46000 | 4.711 | 1.922 
47000 | 4.754 | 2.054 
48000 | 4.827 | 1.970 
49000 | 4.938 | 1.991 
50000 | 4.983 | 1.963 
