cnt rows | not Index | Index
1000 | 0.166 | 0.107 
2000 | 0.271 | 0.141 
3000 | 0.362 | 0.174 
4000 | 0.458 | 0.195 
5000 | 0.530 | 0.210 
6000 | 0.608 | 0.225 
7000 | 2.064 | 1.620 
8000 | 2.128 | 1.661 
9000 | 2.262 | 1.823 
10000 | 2.275 | 1.658 
11000 | 2.362 | 1.644 
12000 | 2.543 | 1.718 
13000 | 2.496 | 1.757 
14000 | 2.597 | 1.706 
15000 | 2.706 | 1.743 
16000 | 2.751 | 1.754 
17000 | 2.802 | 1.715 
18000 | 2.997 | 1.768 
19000 | 2.955 | 1.730 
20000 | 3.041 | 1.771 
21000 | 3.065 | 1.738 
22000 | 3.173 | 1.801 
23000 | 3.302 | 1.773 
24000 | 3.341 | 1.958 
25000 | 3.413 | 1.808 
26000 | 3.498 | 1.794 
27000 | 3.557 | 1.881 
28000 | 3.601 | 1.728 
29000 | 3.436 | 1.726 
30000 | 3.450 | 1.711 
31000 | 3.555 | 1.745 
32000 | 3.594 | 1.727 
33000 | 3.704 | 1.755 
34000 | 3.794 | 1.752 
35000 | 3.803 | 1.736 
36000 | 3.881 | 1.756 
37000 | 3.963 | 1.814 
38000 | 4.047 | 1.805 
39000 | 4.013 | 1.865 
40000 | 4.218 | 1.846 
41000 | 4.186 | 1.765 
42000 | 4.309 | 1.774 
43000 | 4.290 | 1.821 
44000 | 4.393 | 1.953 
45000 | 4.432 | 1.807 
46000 | 4.507 | 1.888 
47000 | 4.678 | 1.797 
48000 | 4.746 | 1.917 
49000 | 4.756 | 1.916 
50000 | 4.818 | 1.883 
