cnt rows | not Index | Index
1000 | 1.609 | 1.670 
2000 | 1.822 | 1.705 
3000 | 1.881 | 1.695 
4000 | 1.947 | 1.754 
5000 | 2.064 | 1.717 
6000 | 2.190 | 1.729 
7000 | 2.208 | 1.780 
8000 | 2.304 | 1.757 
9000 | 2.380 | 1.805 
10000 | 2.420 | 1.763 
11000 | 2.536 | 1.866 
12000 | 2.570 | 1.816 
13000 | 2.651 | 1.841 
14000 | 2.740 | 1.824 
15000 | 2.835 | 1.899 
16000 | 2.969 | 1.874 
17000 | 2.981 | 1.833 
18000 | 3.022 | 1.981 
19000 | 3.305 | 1.873 
20000 | 3.223 | 1.949 
21000 | 3.346 | 1.896 
22000 | 3.389 | 1.930 
23000 | 3.614 | 1.903 
24000 | 3.533 | 2.031 
25000 | 3.604 | 1.978 
26000 | 3.650 | 1.960 
27000 | 3.800 | 2.059 
28000 | 3.874 | 2.015 
29000 | 3.737 | 1.897 
30000 | 3.726 | 1.919 
31000 | 3.750 | 2.002 
32000 | 3.976 | 1.932 
33000 | 3.928 | 1.953 
34000 | 4.026 | 1.932 
35000 | 4.183 | 1.929 
36000 | 4.142 | 1.935 
37000 | 4.211 | 1.923 
38000 | 4.234 | 2.024 
39000 | 4.334 | 1.971 
40000 | 4.338 | 2.031 
41000 | 4.420 | 2.020 
42000 | 4.485 | 2.025 
43000 | 4.581 | 1.996 
44000 | 4.717 | 2.050 
45000 | 4.787 | 2.007 
46000 | 4.855 | 2.062 
47000 | 4.886 | 2.138 
48000 | 5.023 | 2.080 
49000 | 5.068 | 2.063 
50000 | 5.156 | 2.186 
