cnt rows | not Index | Index
1000 | 0.188 | 0.134 
2000 | 0.308 | 0.167 
3000 | 0.392 | 0.198 
4000 | 0.470 | 0.224 
5000 | 0.589 | 0.242 
6000 | 0.682 | 0.263 
7000 | 0.778 | 0.289 
8000 | 0.869 | 0.304 
9000 | 0.991 | 0.321 
10000 | 1.035 | 0.362 
11000 | 1.093 | 0.396 
12000 | 1.172 | 0.381 
13000 | 1.328 | 0.417 
14000 | 1.360 | 0.435 
15000 | 1.447 | 0.453 
16000 | 1.640 | 0.467 
17000 | 1.685 | 0.472 
18000 | 1.741 | 0.492 
19000 | 1.840 | 0.545 
20000 | 1.885 | 0.553 
21000 | 1.961 | 0.544 
22000 | 2.096 | 0.570 
23000 | 2.192 | 0.556 
24000 | 2.224 | 0.611 
25000 | 2.321 | 0.584 
26000 | 2.423 | 0.600 
27000 | 2.442 | 0.631 
28000 | 2.554 | 0.653 
29000 | 2.511 | 0.640 
30000 | 2.497 | 0.659 
31000 | 2.561 | 0.707 
32000 | 2.651 | 0.705 
33000 | 2.720 | 0.703 
34000 | 2.870 | 0.725 
35000 | 2.936 | 0.750 
36000 | 2.992 | 0.719 
37000 | 3.131 | 0.785 
38000 | 3.052 | 0.765 
39000 | 3.164 | 0.802 
40000 | 3.216 | 0.819 
41000 | 3.363 | 0.836 
42000 | 3.383 | 0.869 
43000 | 3.455 | 0.805 
44000 | 3.538 | 0.852 
45000 | 3.671 | 0.865 
46000 | 3.738 | 0.888 
47000 | 3.785 | 0.914 
48000 | 3.846 | 0.878 
49000 | 4.077 | 0.934 
50000 | 4.015 | 0.930 
